datetime,city,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,,ride_distance_km,traffic_index,surge_multiplier,hour,day_of_week,is_weekend,fare_amount,passenger_count
14-12-2024 07:58,Ahmedabad,2015-05-07 19:52:06 UTC,-73.99981689,40.73835373,-73.99951172,40.72321701,,18.57,5,2.5,7,5,1,357.84,1
23-10-2024 14:20,Mumbai,2009-07-17 20:04:56 UTC,-73.994355,40.728225,-73.99471,40.750325,,2.39,4,2.5,14,2,0,148.68,1
21-11-2024 02:40,Ahmedabad,2009-08-24 21:45:00 UTC,-74.005043,40.74077,-73.962565,40.772647,,2.35,6,2,2,3,0,148.2,1
16-02-2024 12:59,Hyderabad,2009-06-26 08:22:21 UTC,-73.976124,40.790844,-73.965316,40.803349,,15.82,6,1.2,12,4,0,293.84,3
12-03-2024 00:17,Ahmedabad,2014-08-28 17:47:00 UTC,-73.925023,40.744085,-73.973082,40.761247,,13.59,3,1.2,0,1,0,252.08,5
07-03-2024 19:03,Delhi,2011-02-12 02:27:09 UTC,-73.969019,40.75591,-73.969019,40.75591,,12.2,3,2.5,19,3,0,261.4,1
29-04-2024 14:45,Bengaluru,2014-10-12 07:04:00 UTC,-73.961447,40.693965,-73.871195,40.774297,,1.32,2,1,14,0,0,95.84,5
10-12-2024 18:53,Delhi,2012-12-11 13:52:00 UTC,0,0,0,0,,6.54,7,2,18,1,0,203.48,1
13-09-2024 00:45,Delhi,2012-02-17 09:32:00 UTC,-73.975187,40.745767,-74.00272,40.743537,,5.16,4,1,0,4,0,151.92,1
12-08-2024 02:22,Hyderabad,2012-03-29 19:06:00 UTC,-74.001065,40.741787,-73.96304,40.775012,,11.2,4,1.2,2,0,0,228.4,1
22-07-2024 10:51,Bengaluru,2015-05-22 17:32:27 UTC,-73.97438812,40.74695206,-73.98858643,40.72980499,,19.6,4,1.2,10,0,0,329.2,1
18-02-2024 08:22,Hyderabad,2011-05-23 22:15:00 UTC,0,0,0,0,,3.12,9,2,8,6,1,182.44,1
07-04-2024 13:21,Bengaluru,2011-05-17 14:03:00 UTC,-73.966378,40.80444,-73.96589,40.807133,,18.94,8,2.5,13,6,1,377.28,5
28-11-2024 15:07,Ahmedabad,2011-06-25 11:19:00 UTC,-73.953352,40.767382,-73.97251,40.796137,,14.02,1,1,15,3,0,243.24,1
24-08-2024 19:14,Hyderabad,2010-04-06 22:20:27 UTC,-73.97337,40.755193,-73.978265,40.766375,,10.48,3,1.5,19,5,1,230.76,1
24-11-2024 06:20,Bengaluru,2012-02-21 09:33:00 UTC,-73.990718,40.75192,-73.973053,40.74423,,19.51,7,2.5,6,6,1,379.12,2
25-08-2024 13:07,Delhi,2011-09-01 09:21:40 UTC,-73.988908,40.756982,-73.981246,40.76005,,21.4,2,2,13,6,1,366.8,1
05-08-2024 06:33,Delhi,2011-03-19 23:58:27 UTC,-74.005665,40.741138,-73.97783,40.749338,,17.05,3,2.5,6,0,0,319.6,2
11-04-2024 13:23,Delhi,2015-03-25 08:58:35 UTC,-73.96253204,40.76718903,-73.97445679,40.75386047,,14.47,5,1.5,13,3,0,278.64,1
06-04-2024 18:58,Delhi,2009-08-08 00:20:00 UTC,-73.992075,40.719633,-73.985323,40.727405,,18.32,9,1.5,18,5,1,354.84,1
